"INSEE","NOMCLAIR","CP","NOMSIMPLE","REGION","DEPARTEMENT","POP","POParr"
"01001","L'Abergement-Clémenciat","01400","L ABERGEMENT CLEMENCIAT","84","01",767,767
"01002","L'Abergement-de-Varey","01640","L ABERGEMENT DE VAREY","84","01",236,236
"01004","Ambérieu-en-Bugey","01500","AMBERIEU EN BUGEY","84","01",14359,14359
"01005","Ambérieux-en-Dombes","01330","AMBERIEUX EN DOMBES","84","01",1634.99999999999,1634
"01006","Ambléon","01300","AMBLEON","84","01",108,108
"01007","Ambronay","01500","AMBRONAY","84","01",2503,2503
"01008","Ambutrix","01500","AMBUTRIX","84","01",744,744
"01009","Andert-et-Condon","01300","ANDERT ET CONDON","84","01",337,337
"01010","Anglefort","01350","ANGLEFORT","84","01",1108,1108
"01011","Apremont","01100","APREMONT","84","01",393.999999999999,393
"01012","Aranc","01110","ARANC","84","01",313.999999999999,313
"01013","Arandas","01230","ARANDAS","84","01",158,158
"01014","Arbent","01100","ARBENT","84","01",3409.99999999999,3409
"01015","Arbignieu","01300","ARBOYS EN BUGEY","84","01",495,495
"01016","Arbigny","01190","ARBIGNY","84","01",427,427
"01017","Argis","01230","ARGIS","84","01",421.999999999998,421
"01019","Armix","01510","ARMIX","84","01",21,21
"01021","Ars-sur-Formans","01480","ARS SUR FORMANS","84","01",1387,1387
"01022","Artemare","01510","ARTEMARE","84","01",1175,1175
"01023","Asnières-sur-Saône","01570","ASNIERES SUR SAONE","84","01",69.0000000000003,69
"01024","Attignat","01340","ATTIGNAT","84","01",3260,3260
"01025","Bâgé-la-Ville","01380","BAGE LA VILLE","84","01",3154,3154
"01026","Bâgé-le-Châtel","01380","BAGE LE CHATEL","84","01",855,855
"01027","Balan","01360","BALAN","84","01",2828,2828
"01028","Baneins","01990","BANEINS","84","01",573,573
"01029","Beaupont","01270","BEAUPONT","84","01",676.999999999997,676
"01030","Beauregard","01480","BEAUREGARD","84","01",876,876
"01031","Bellignat","01100","BELLIGNAT","84","01",3646,3646
"01032","Béligneux","01360","BELIGNEUX","84","01",3304,3304
"01033","Bellegarde-sur-Valserine","01200","BELLEGARDE SUR VALSERINE","84","01",11644,11644
"01034","Belley","01300","BELLEY","84","01",8908.99999999998,8908
"01035","Belleydoux","01130","BELLEYDOUX","84","01",327.000000000001,327
"01036","Belmont-Luthézieu","01260","BELMONT LUTHEZIEU","84","01",526,526
"01037","Bénonces","01470","BENONCES","84","01",276.000000000001,276
"01038","Bény","01370","BENY","84","01",718.000000000003,718
"01039","Béon","01350","BEON","84","01",457,457
"01040","Béréziat","01340","BEREZIAT","84","01",470,470
"01041","Bettant","01500","BETTANT","84","01",746,746
"01042","Bey","01290","BEY","84","01",260,260
"01043","Beynost","01700","BEYNOST","84","01",4534,4534
"01044","Billiat","01200","BILLIAT","84","01",578,578
"01045","Birieux","01330","BIRIEUX","84","01",280,280
"01046","Biziat","01290","BIZIAT","84","01",824.000000000001,824
"01047","Blyes","01150","BLYES","84","01",944,944
"01049","La Boisse","01120","LA BOISSE","84","01",2927,2927
"01050","Boissey","01190","BOISSEY","84","01",314,314
"01050","Boissey","01380","BOISSEY","84","01",314,314
"01051","Bolozon","01450","BOLOZON","84","01",90,90
"01052","Bouligneux","01330","BOULIGNEUX","84","01",304,304
"01053","Bourg-en-Bresse","01000","BOURG EN BRESSE","84","01",40490,40490
"01054","Bourg-Saint-Christophe","01800","BOURG ST CHRISTOPHE","84","01",1258,1258
"01056","Boyeux-Saint-Jérôme","01640","BOYEUX ST JEROME","84","01",365.000000000001,365
"01057","Boz","01190","BOZ","84","01",508,508
"01058","Brégnier-Cordon","01300","BREGNIER CORDON","84","01",865.000000000004,865
"01059","Brénaz","01260","BRENAZ","84","01",91,91
"01060","Brénod","01110","BRENOD","84","01",550.000000000002,550
"01061","Brens","01300","BRENS","84","01",1200,1200
"01062","Bressolles","01360","BRESSOLLES","84","01",812,812
"01063","Brion","01460","BRION","84","01",514,514
"01064","Briord","01470","BRIORD","84","01",946,946
"01065","Buellas","01310","BUELLAS","84","01",1734,1734
"01066","La Burbanche","01510","LA BURBANCHE","84","01",71.9999999999997,71
"01067","Ceignes","01430","CEIGNES","84","01",262,262
"01068","Cerdon","01450","CERDON","84","01",749,749
"01069","Certines","01240","CERTINES","84","01",1440,1440
"01071","Cessy","01170","CESSY","84","01",4523.99999999998,4523
"01072","Ceyzériat","01250","CEYZERIAT","84","01",3039,3039
"01073","Ceyzérieu","01350","CEYZERIEU","84","01",1005,1005
"01074","Chalamont","01320","CHALAMONT","84","01",2408.99999999999,2408
"01075","Chaleins","01480","CHALEINS","84","01",1199,1199
"01076","Chaley","01230","CHALEY","84","01",146,146
"01077","Challes-la-Montagne","01450","CHALLES LA MONTAGNE","84","01",180.999999999999,180
"01078","Challex","01630","CHALLEX","84","01",1385.00000000001,1385
"01079","Champagne-en-Valromey","01260","CHAMPAGNE EN VALROMEY","84","01",805,805
"01080","Champdor","01110","CHAMPDOR CORCELLES","84","01",452,452
"01081","Champfromier","01410","CHAMPFROMIER","84","01",713,713
"01082","Chanay","01420","CHANAY","84","01",646,646
"01083","Chaneins","01990","CHANEINS","84","01",847.000000000001,847
"01084","Chanoz-Châtenay","01400","CHANOZ CHATENAY","84","01",756,756
"01085","La Chapelle-du-Châtelard","01240","LA CHAPELLE DU CHATELARD","84","01",375.000000000001,375
"01087","Charix","01130","CHARIX","84","01",283.999999999999,283
"01088","Charnoz-sur-Ain","01800","CHARNOZ SUR AIN","84","01",915,915
"01089","Château-Gaillard","01500","CHATEAU GAILLARD","84","01",1940,1940
"01090","Châtenay","01320","CHATENAY","84","01",339.000000000001,339
"01091","Châtillon-en-Michaille","01200","CHATILLON EN MICHAILLE","84","01",3173,3173
"01092","Châtillon-la-Palud","01320","CHATILLON LA PALUD","84","01",1572.99999999999,1572
"01093","Châtillon-sur-Chalaronne","01400","CHATILLON SUR CHALARONNE","84","01",4957,4957
"01094","Chavannes-sur-Reyssouze","01190","CHAVANNES SUR REYSSOUZE","84","01",732,732
"01095","Chavannes-sur-Suran","01250","CHAVANNES SUR SURAN","84","01",641.000000000002,641
"01096","Chaveyriat","01660","CHAVEYRIAT","84","01",975,975
"01097","Chavornay","01510","CHAVORNAY","84","01",216.999999999999,217
"01098","Chazey-Bons","01300","CHAZEY BONS","84","01",831,831
"01099","Chazey-sur-Ain","01150","CHAZEY SUR AIN","84","01",1544,1544
"01100","Cheignieu-la-Balme","01510","CHEIGNIEU LA BALME","84","01",146.000000000001,146
"01101","Chevillard","01430","CHEVILLARD","84","01",159,159
"01102","Chevroux","01190","CHEVROUX","84","01",944,944
"01103","Chevry","01170","CHEVRY","84","01",1396,1396
"01104","Chézery-Forens","01200","CHEZERY FORENS","84","01",461.000000000001,461
"01104","Chézery-Forens","01410","CHEZERY FORENS","84","01",461.000000000001,461
"01105","Civrieux","01390","CIVRIEUX","84","01",1441,1441
"01106","Cize","01250","CIZE","84","01",173,173
"01107","Cleyzieu","01230","CLEYZIEU","84","01",136,136
"01108","Coligny","01270","COLIGNY","84","01",1164,1164
"01109","Collonges","01550","COLLONGES","84","01",2104,2104
"01110","Colomieu","01300","COLOMIEU","84","01",124,124
"01111","Conand","01230","CONAND","84","01",113,113
"01112","Condamine","01430","CONDAMINE","84","01",416.999999999999,416
"01113","Condeissiat","01400","CONDEISSIAT","84","01",806,806
"01114","Confort","01200","CONFORT","84","01",555.999999999999,555
"01115","Confrançon","01310","CONFRANCON","84","01",1321,1321
"01116","Contrevoz","01300","CONTREVOZ","84","01",518.000000000001,518
"01117","Conzieu","01300","CONZIEU","84","01",146,146
"01118","Corbonod","01420","CORBONOD","84","01",1219,1219
"01121","Corlier","01110","CORLIER","84","01",116,116
"01122","Cormaranche-en-Bugey","01110","CORMARANCHE EN BUGEY","84","01",801,801
"01123","Cormoranche-sur-Saône","01290","CORMORANCHE SUR SAONE","84","01",1070,1070
"01124","Cormoz","01560","CORMOZ","84","01",667.999999999998,667
"01125","Corveissiat","01250","CORVEISSIAT","84","01",617,617
"01127","Courmangoux","01370","COURMANGOUX","84","01",507,507
"01128","Courtes","01560","COURTES","84","01",282,282
"01129","Crans","01320","CRANS","84","01",264,264
"01130","Cras-sur-Reyssouze","01340","CRAS SUR REYSSOUZE","84","01",1388,1388
"01133","Cressin-Rochefort","01350","CRESSIN ROCHEFORT","84","01",380,380
"01134","Crottet","01290","CROTTET","84","01",1717,1717
"01134","Crottet","01750","CROTTET","84","01",1717,1717
"01135","Crozet","01170","CROZET","84","01",2015,2015
"01136","Cruzilles-lès-Mépillat","01290","CRUZILLES LES MEPILLAT","84","01",831,831
"01138","Culoz","01350","CULOZ","84","01",2986,2986
"01139","Curciat-Dongalon","01560","CURCIAT DONGALON","84","01",453.999999999999,453
"01140","Curtafond","01310","CURTAFOND","84","01",721,721
"01141","Cuzieu","01300","CUZIEU","84","01",404,404
"01142","Dagneux","01120","DAGNEUX","84","01",4307.99999999999,4307
"01143","Divonne-les-Bains","01220","DIVONNE LES BAINS","84","01",8762.00000000001,8762
"01144","Dommartin","01380","DOMMARTIN","84","01",882.000000000003,882
"01145","Dompierre-sur-Veyle","01240","DOMPIERRE SUR VEYLE","84","01",1175,1175
"01146","Dompierre-sur-Chalaronne","01400","DOMPIERRE SUR CHALARONNE","84","01",402,402
"01147","Domsure","01270","DOMSURE","84","01",476.999999999999,476
"01148","Dortan","01590","DORTAN","84","01",1855,1855
"01149","Douvres","01500","DOUVRES","84","01",1015,1015
"01150","Drom","01250","DROM","84","01",218,218
"01151","Druillat","01160","DRUILLAT","84","01",1151,1151
"01152","Échallon","01130","ECHALLON","84","01",765,765
"01153","Échenevex","01170","ECHENEVEX","84","01",1904,1904
"01154","Étrez","01340","ETREZ","84","01",793,793
"01155","Évosges","01230","EVOSGES","84","01",144,144
"01156","Faramans","01800","FARAMANS","84","01",772,772
"01157","Fareins","01480","FAREINS","84","01",2198.99999999999,2198
"01158","Farges","01550","FARGES","84","01",946,946
"01159","Feillens","01570","FEILLENS","84","01",3186,3186
"01160","Ferney-Voltaire","01210","FERNEY VOLTAIRE","84","01",9236,9236
"01162","Flaxieu","01350","FLAXIEU","84","01",65,65
"01163","Foissiat","01340","FOISSIAT","84","01",2005,2005
"01165","Francheleins","01090","FRANCHELEINS","84","01",1482,1482
"01166","Frans","01480","FRANS","84","01",2086.99999999999,2086
